data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6713388,566,NIG15966,15966,31-Dec-19,2019,1,Protests,Peaceful protest,Protesters (Nigeria),,6,,,0,60,Western Africa,Nigeria,Katsina,Katsina,,Katsina,12.9894,7.6006,1,Daily Trust (Nigeria),National,"On 31 December 2019, thousands of youth demonstrated against sexual violence in Katsina. [size=thousands]",0,1578512391,NGA
7784010,566,NIG15968,15968,31-Dec-19,2019,1,Violence against civilians,Attack,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,2,Civilians (Nigeria),,7,27,Western Africa,Nigeria,Adamawa,Michika,,Michika,10.6159,13.3849,2,Sun (Nigeria),National,"On 31 December 2019, presumed Boko Haram (JAS) attacked Wurogayadi in Michika LGA (Adamaya) and forced residents to flee.",0,1617065408,NGA
6714193,566,NIG15963,15963,31-Dec-19,2019,1,Protests,Peaceful protest,Protesters (Nigeria),,6,,,0,60,Western Africa,Nigeria,Enugu,Udi,,Ameke Ngwo,6.439,7.4017,1,Vanguard (Nigeria),National,"On 31 December 2019, residents of Ameke Ngwo demonstrated against the management of a local factory. [size=no report]",0,1578512393,NGA
7784065,566,NIG15967,15967,31-Dec-19,2019,1,Violence against civilians,Attack,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,2,Civilians (Nigeria),,7,27,Western Africa,Nigeria,Adamawa,Michika,,Kopa,10.7447,13.3325,1,Sun (Nigeria),National,"On 31 December 2019, presumed Boko Haram (JAS) attacked Kopa (Michika, Adamaya) and forced residents to flee.",0,1617065408,NGA
7784086,566,NIG15964,15964,31-Dec-19,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2015-),,1,Islamic State (West Africa) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,2,12,Western Africa,Nigeria,Borno,Konduga,,Gujeri,11.5333,12.8167,1,Sun (Nigeria),National,"On 31 December 2019, Nigerian Air Force conducted air strikes against a camp of Boko Haram (JAS) or ISWAP in Gujeri (Konduga, Borno). Structures in the camp were destroyed.",0,1617065408,NGA
6713299,566,NIG15965,15965,31-Dec-19,2019,1,Protests,Peaceful protest,Protesters (Nigeria),Women (Nigeria),6,,,0,60,Western Africa,Nigeria,Niger,Borgu,,Ilorin,10.8819,4.0072,1,Blueprint,National,"On 31 December 2019, hundreds of women in Ilorin demonstrated against the planned demolition of structures belonging to a late Second Republic Senate Leader. [size=hundreds]",0,1578512391,NGA
7780575,566,NIG15962,15962,31-Dec-19,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2015-),,1,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,2,12,Western Africa,Nigeria,Borno,Damboa,,Abulam,11.2,12.4667,1,Nigeria Punch; Vanguard (Nigeria); Daily Post (Nigeria),National,"On 31 December 2019, Nigerian Air Force conducted air strikes against a camp of Boko Haram (JAS) in Abulam (Damboa, Borno). Equipment was destroyed and an unreported number of BH fighters killed. Unknown number of fatalities coded as 10.",10,1617065401,NGA
7781889,566,NIG16044,16044,30-Dec-19,2019,1,Violence against civilians,Attack,Islamic State (West Africa) - Lake Chad Faction,,2,Civilians (Nigeria),Christian Group (Nigeria),7,27,Western Africa,Nigeria,Borno,Biu,,Mandaragirau,10.6958,12.3313,1,Amaq,New media,"On 30 December 2019, ISWAP attacked Mandaragirau (Biu, Borno), killed 5 Christian residents, abducted an unreported number of people and burnt down the local church.",5,1617065404,NGA
6713098,566,NIG15961,15961,30-Dec-19,2019,2,Protests,Peaceful protest,Protesters (Nigeria),,6,,,0,60,Western Africa,Nigeria,Ondo,Akoko North West,,Uro Ajowa,7.6932,5.833,1,Daily Post (Nigeria); Vanguard (Nigeria),National,"On 30 December 2019 (or around), hundreds of youth in Ajowa demonstrated over the in-migration of pastoralists into their area. [size=hundreds]",0,1578512390,NGA
6713996,566,NIG15960,15960,30-Dec-19,2019,2,Protests,Peaceful protest,Protesters (Nigeria),,6,,,0,60,Western Africa,Nigeria,Bayelsa,Sagbama,,Ikpide Irri,5.3053,6.3759,1,Sun (Nigeria),National,"On 30 December 2019 (or around), youth of Ikpide-Irri demonstrated over the poor quality of road works in their area. [size=no report]",0,1618566403,NGA
